,Date,Pattern,Time
52,2 December 2021,REM, 07:36-07:45
53,2 December 2021,REM, 07:36-07:45
54,2 December 2021,REM, 07:36-07:45
55,2 December 2021,REM, 07:36-07:45
56,2 December 2021,REM, 07:53-07:59
57,2 December 2021,Light, 07:59-08:31
58,2 December 2021,Deep, 08:31-08:52
59,2 December 2021,Light, 08:52-09:14
60,2 December 2021,REM, 09:14-09:30
61,1 December 2021,Awake, 01:03-02:04
62,1 December 2021,Light, 02:04-02:25
63,1 December 2021,Deep, 02:25-03:07
64,1 December 2021,Light, 03:07-03:23
65,1 December 2021,Deep, 03:23-03:49
66,1 December 2021,Light, 03:49-04:01
67,1 December 2021,Deep, 04:01-04:39
68,1 December 2021,Light, 04:39-04:50
69,1 December 2021,REM, 04:50-05:05
70,1 December 2021,Awake, 05:05-05:11
71,1 December 2021,REM, 05:11-05:31
72,1 December 2021,Light, 05:31-05:50
73,1 December 2021,Deep, 05:50-06:16
74,1 December 2021,Light, 06:16-06:32
75,1 December 2021,Deep, 06:32-06:51
76,1 December 2021,REM, 06:51-07:21
77,1 December 2021,Light, 07:21-07:47
78,30 November 2021,Awake, 22:13-22:49
79,30 November 2021,Light, 22:49-22:52
80,30 November 2021,Awake, 22:52-22:59
81,30 November 2021,Light, 22:59-23:06
82,30 November 2021,Awake, 23:06-23:16
83,30 November 2021,Light, 23:16-23:36
84,30 November 2021,Light, 23:16-23:36
85,30 November 2021,Awake, 23:38-00:08
86,30 November 2021,Light, 00:08-00:23
87,30 November 2021,Deep, 00:23-00:53
88,30 November 2021,Light, 00:53-01:29
89,30 November 2021,Deep, 01:29-01:47
90,30 November 2021,Light, 01:47-01:58
91,30 November 2021,Deep, 01:58-02:15
92,30 November 2021,Light, 02:15-02:30
93,30 November 2021,REM, 02:30-03:18
94,30 November 2021,Deep, 03:18-04:05
95,30 November 2021,Light, 04:05-04:23
96,30 November 2021,Deep, 04:23-04:32
97,30 November 2021,Awake, 04:32-04:46
98,30 November 2021,REM, 04:46-05:45
99,30 November 2021,Light, 05:45-05:57
100,30 November 2021,Deep, 05:57-06:08
101,30 November 2021,Light, 06:08-06:25
102,30 November 2021,Deep, 06:25-06:36
103,30 November 2021,REM, 06:36-07:05
104,30 November 2021,REM, 06:36-07:05
105,30 November 2021,Light, 07:08-07:48
106,29 November 2021,Awake, 23:41-00:31
107,29 November 2021,Light, 00:31-00:47
108,29 November 2021,Deep, 00:47-01:45
109,29 November 2021,Light, 01:45-02:10
110,29 November 2021,Deep, 02:10-02:28
111,29 November 2021,Light, 02:28-02:39
112,29 November 2021,Deep, 02:39-03:03
113,29 November 2021,Light, 03:03-03:16
114,29 November 2021,REM, 03:16-03:32
115,29 November 2021,Awake, 03:32-03:38
116,29 November 2021,REM, 03:38-03:49
117,29 November 2021,Light, 03:49-04:01
118,29 November 2021,Deep, 04:01-04:24
119,29 November 2021,Light, 04:24-04:36
120,29 November 2021,Deep, 04:36-04:47
121,29 November 2021,Light, 04:47-05:13
122,29 November 2021,REM, 05:13-06:02
123,29 November 2021,Light, 06:02-06:45
124,29 November 2021,Awake, 06:45-06:55
125,29 November 2021,Light, 06:55-07:13
126,29 November 2021,REM, 07:13-07:23
127,29 November 2021,Light, 07:23-07:43
128,28 November 2021,Awake, 01:13-01:42
129,28 November 2021,Deep, 01:42-02:58
130,28 November 2021,Light, 02:58-03:16
131,28 November 2021,Deep, 03:16-03:30
132,28 November 2021,Light, 03:30-04:04
133,28 November 2021,Awake, 04:04-04:12
134,28 November 2021,Light, 04:12-04:23
135,28 November 2021,REM, 04:23-04:27
136,28 November 2021,Awake, 04:27-04:38
137,28 November 2021,REM, 04:38-04:43
138,28 November 2021,Light, 04:43-05:24
139,28 November 2021,Deep, 05:24-05:42
140,28 November 2021,Light, 05:42-05:48
141,28 November 2021,Awake, 05:48-05:58
142,28 November 2021,Light, 05:58-06:07
143,28 November 2021,REM, 06:07-06:10
144,28 November 2021,Awake, 06:10-06:17
145,28 November 2021,REM, 06:17-06:37
146,28 November 2021,Light, 06:37-06:55
147,28 November 2021,Deep, 06:55-07:40
148,28 November 2021,Light, 07:40-08:01
149,28 November 2021,REM, 08:01-08:19
150,27 November 2021,Awake, 23:47-00:38
151,27 November 2021,Light, 00:38-00:44
152,27 November 2021,Deep, 00:44-00:58
153,27 November 2021,Light, 00:58-01:10
154,27 November 2021,Deep, 01:10-02:49
155,27 November 2021,Light, 02:49-02:52
156,27 November 2021,Awake, 02:52-03:12
157,27 November 2021,Light, 03:12-03:42
158,27 November 2021,REM, 03:42-03:54
159,27 November 2021,Light, 03:54-04:29
160,27 November 2021,Deep, 04:29-04:59
161,27 November 2021,Light, 04:59-05:00
162,27 November 2021,Awake, 05:00-05:06
163,27 November 2021,Light, 05:06-05:23
164,27 November 2021,Light, 05:06-05:23
165,27 November 2021,Light, 05:26-05:38
166,27 November 2021,Awake, 05:38-06:09
167,27 November 2021,Light, 06:09-06:43
168,27 November 2021,Deep, 06:43-06:54
169,27 November 2021,Light, 06:54-07:08
170,27 November 2021,Deep, 07:08-07:20
171,27 November 2021,Light, 07:20-07:36
172,27 November 2021,REM, 07:36-08:08
173,27 November 2021,Light, 08:08-09:00
174,26 November 2021,Awake, 00:28-00:51
175,26 November 2021,Light, 00:51-01:05
176,26 November 2021,Deep, 01:05-01:23
177,26 November 2021,Light, 01:23-01:47
178,26 November 2021,Deep, 01:47-02:38
179,26 November 2021,Light, 02:38-02:53
180,26 November 2021,Awake, 02:53-03:02
181,26 November 2021,Light, 03:02-03:10
182,26 November 2021,REM, 03:10-03:33
183,26 November 2021,Light, 03:33-03:55
184,26 November 2021,Deep, 03:55-04:13
185,26 November 2021,Light, 04:13-04:50
186,26 November 2021,REM, 04:50-05:45
187,26 November 2021,Light, 05:45-06:26
188,26 November 2021,Deep, 06:26-06:44
189,26 November 2021,Deep, 06:26-06:44
190,26 November 2021,Light, 06:46-07:51
191,25 November 2021,Awake, 23:40-01:06
192,25 November 2021,Light, 01:06-01:17
193,25 November 2021,Deep, 01:17-01:35
194,25 November 2021,Light, 01:35-01:45
195,25 November 2021,Deep, 01:45-03:30
196,25 November 2021,Light, 03:30-03:42
197,25 November 2021,REM, 03:42-03:55
198,25 November 2021,Light, 03:55-04:23
199,25 November 2021,Deep, 04:23-04:51
200,25 November 2021,Light, 04:51-05:36
201,25 November 2021,REM, 05:36-06:15
202,25 November 2021,Light, 06:15-07:18
203,25 November 2021,Awake, 07:18-07:27
204,24 November 2021,Awake, 23:49-01:01
205,24 November 2021,Light, 01:01-01:18
206,24 November 2021,Deep, 01:18-02:27
207,24 November 2021,Light, 02:27-02:36
208,24 November 2021,Deep, 02:36-03:38
209,24 November 2021,Light, 03:38-03:50
210,24 November 2021,REM, 03:50-04:03
211,24 November 2021,Light, 04:03-04:19
212,24 November 2021,Deep, 04:19-04:47
213,24 November 2021,Light, 04:47-04:57
214,24 November 2021,Deep, 04:57-05:05
215,24 November 2021,Awake, 05:05-05:11
216,24 November 2021,Light, 05:11-05:20
217,24 November 2021,REM, 05:20-06:02
218,24 November 2021,Light, 06:02-06:55
219,24 November 2021,REM, 06:55-07:55
220,23 November 2021,Awake, 23:35-00:44
221,23 November 2021,Light, 00:44-00:50
222,23 November 2021,Awake, 00:50-00:57
223,23 November 2021,Light, 00:57-01:18
224,23 November 2021,Deep, 01:18-01:33
225,23 November 2021,Light, 01:33-01:43
226,23 November 2021,Deep, 01:43-02:19
227,23 November 2021,Light, 02:19-03:10
228,23 November 2021,Deep, 03:10-03:44
229,23 November 2021,Light, 03:44-04:09
230,23 November 2021,Deep, 04:09-04:21
231,23 November 2021,Awake, 04:21-04:28
232,23 November 2021,Light, 04:28-04:38
233,23 November 2021,REM, 04:38-05:15
234,23 November 2021,Light, 05:15-06:41
235,23 November 2021,REM, 06:41-07:23
236,23 November 2021,Light, 07:23-07:55
237,22 November 2021,Awake, 23:32-23:43
238,22 November 2021,Light, 23:43-23:49
239,22 November 2021,Light, 23:43-23:49
240,22 November 2021,Awake, 23:52-00:12
241,22 November 2021,Light, 00:12-00:41
242,22 November 2021,Deep, 00:41-00:50
243,22 November 2021,Deep, 00:41-00:50
244,22 November 2021,Deep, 00:52-00:55
245,22 November 2021,Light, 00:55-01:08
246,22 November 2021,Deep, 01:08-01:52
247,22 November 2021,REM, 01:52-02:01
248,22 November 2021,Light, 02:01-02:18
249,22 November 2021,Deep, 02:18-03:01
250,22 November 2021,Light, 03:01-03:11
251,22 November 2021,REM, 03:11-03:49
252,22 November 2021,Light, 03:49-04:07
253,22 November 2021,Deep, 04:07-04:17
254,22 November 2021,Light, 04:17-04:55
255,22 November 2021,Awake, 04:55-05:02
256,22 November 2021,Light, 05:02-05:25
257,22 November 2021,REM, 05:25-06:07
258,22 November 2021,Light, 06:07-07:07
259,22 November 2021,Awake, 07:07-07:14
260,22 November 2021,Light, 07:14-07:45
261,22 November 2021,Awake, 07:45-07:51
262,22 November 2021,Light, 07:51-08:10
263,21 November 2021,Awake, 00:27-01:08
264,21 November 2021,Light, 01:08-01:21
265,21 November 2021,Deep, 01:21-02:26
266,21 November 2021,Light, 02:26-03:09
267,21 November 2021,Deep, 03:09-04:00
268,21 November 2021,REM, 04:00-04:16
269,21 November 2021,REM, 04:00-04:16
270,21 November 2021,Awake, 04:19-04:26
271,21 November 2021,Light, 04:26-05:28
272,21 November 2021,REM, 05:28-05:54
273,21 November 2021,Light, 05:54-06:47
274,21 November 2021,Deep, 06:47-06:58
275,21 November 2021,Light, 06:58-07:12
276,21 November 2021,REM, 07:12-07:23
277,21 November 2021,Light, 07:23-07:37
278,21 November 2021,REM, 07:37-07:50
279,21 November 2021,Light, 07:50-08:16
280,21 November 2021,Awake, 08:16-08:39
281,20 November 2021,Awake, 00:13-00:33
282,20 November 2021,Light, 00:33-00:46
283,20 November 2021,Deep, 00:46-01:31
284,20 November 2021,Light, 01:31-02:01
285,20 November 2021,Deep, 02:01-03:08
286,20 November 2021,REM, 03:08-03:53
287,20 November 2021,Light, 03:53-04:12
288,20 November 2021,Deep, 04:12-04:36
289,20 November 2021,Light, 04:36-04:55
290,20 November 2021,Awake, 04:55-05:03
291,20 November 2021,Light, 05:03-05:15
292,20 November 2021,REM, 05:15-05:48
293,20 November 2021,Light, 05:48-06:21
294,20 November 2021,Deep, 06:21-06:56
295,20 November 2021,REM, 06:56-07:31
296,20 November 2021,Light, 07:31-08:10
297,19 November 2021,Awake, 00:24-00:59
298,19 November 2021,Awake, 00:24-00:59
299,19 November 2021,Light, 01:00-01:14
300,19 November 2021,Deep, 01:14-02:34
301,19 November 2021,Light, 02:34-03:09
302,19 November 2021,Deep, 03:09-03:50
303,19 November 2021,Light, 03:50-04:00
304,19 November 2021,REM, 04:00-04:31
305,19 November 2021,Light, 04:31-05:03
306,19 November 2021,Deep, 05:03-05:34
307,19 November 2021,Light, 05:34-06:15
308,19 November 2021,Light, 05:34-06:15
309,19 November 2021,Light, 06:18-07:37
310,19 November 2021,Deep, 07:37-07:50
311,18 November 2021,Awake, 01:34-01:39
312,18 November 2021,Light, 01:39-01:56
313,18 November 2021,Deep, 01:56-02:44
314,18 November 2021,REM, 02:44-02:56
315,18 November 2021,Deep, 02:56-03:55
316,18 November 2021,Light, 03:55-04:08
317,18 November 2021,REM, 04:08-04:29
318,18 November 2021,Deep, 04:29-05:14
319,18 November 2021,Light, 05:14-05:25
320,18 November 2021,REM, 05:25-06:05
321,18 November 2021,Light, 06:05-06:58
322,18 November 2021,REM, 06:58-07:30
323,18 November 2021,Light, 07:30-07:51
324,18 November 2021,REM, 07:51-08:02
325,17 November 2021,Awake, 22:52-23:55
326,17 November 2021,Light, 23:55-00:05
327,17 November 2021,Deep, 00:05-01:01
328,17 November 2021,Light, 01:01-01:27
329,17 November 2021,Deep, 01:27-01:43
330,17 November 2021,Light, 01:43-01:58
331,17 November 2021,Deep, 01:58-02:23
332,17 November 2021,REM, 02:23-02:48
333,17 November 2021,Light, 02:48-03:25
334,17 November 2021,Deep, 03:25-03:39
335,17 November 2021,Awake, 03:39-03:46
336,17 November 2021,Light, 03:46-04:14
337,17 November 2021,REM, 04:14-05:14
338,17 November 2021,Light, 05:14-05:36
339,17 November 2021,Deep, 05:36-06:05
340,17 November 2021,Awake, 06:05-06:17
341,17 November 2021,Light, 06:17-06:22
342,17 November 2021,REM, 06:22-06:58
343,17 November 2021,Awake, 06:58-07:11
344,16 November 2021,Awake, 01:27-01:48
345,16 November 2021,Light, 01:48-01:57
346,16 November 2021,Deep, 01:57-02:45
347,16 November 2021,REM, 02:45-02:54
348,16 November 2021,Deep, 02:54-03:28
349,16 November 2021,Light, 03:28-03:41
350,16 November 2021,Deep, 03:41-03:57
351,16 November 2021,Light, 03:57-04:22
352,16 November 2021,REM, 04:22-04:58
353,16 November 2021,Light, 04:58-05:44
354,16 November 2021,Deep, 05:44-06:00
355,16 November 2021,Light, 06:00-06:17
356,16 November 2021,REM, 06:17-07:14
357,16 November 2021,Light, 07:14-07:50
358,15 November 2021,Awake, 23:38-00:30
359,15 November 2021,Light, 00:30-00:41
360,15 November 2021,Deep, 00:41-01:34
361,15 November 2021,Light, 01:34-01:44
362,15 November 2021,Deep, 01:44-02:29
363,15 November 2021,Light, 02:29-02:48
364,15 November 2021,REM, 02:48-03:08
365,15 November 2021,Light, 03:08-03:30
366,15 November 2021,Deep, 03:30-03:40
367,15 November 2021,Light, 03:40-03:58
368,15 November 2021,Deep, 03:58-04:10
