,Date,Pattern,Time
100,2 December 2021,REM, 07:47-07:49
101,2 December 2021,REM, 07:47-07:49
102,2 December 2021,REM, 07:47-07:49
103,2 December 2021,REM, 07:53-07:59
104,2 December 2021,Light, 07:59-08:31
105,2 December 2021,Deep, 08:31-08:52
106,2 December 2021,Light, 08:52-09:14
107,2 December 2021,REM, 09:14-09:30
108,1 December 2021,Awake, 01:03-02:04
109,1 December 2021,Light, 02:04-02:25
110,1 December 2021,Deep, 02:25-03:07
111,1 December 2021,Light, 03:07-03:23
112,1 December 2021,Deep, 03:23-03:49
113,1 December 2021,Light, 03:49-04:01
114,1 December 2021,Deep, 04:01-04:39
115,1 December 2021,Light, 04:39-04:50
116,1 December 2021,REM, 04:50-05:05
117,1 December 2021,Awake, 05:05-05:11
118,1 December 2021,REM, 05:11-05:31
119,1 December 2021,Light, 05:31-05:50
120,1 December 2021,Deep, 05:50-06:16
121,1 December 2021,Light, 06:16-06:32
122,1 December 2021,Deep, 06:32-06:51
123,1 December 2021,REM, 06:51-07:21
124,1 December 2021,Light, 07:21-07:47
125,30 November 2021,Awake, 22:13-22:49
126,30 November 2021,Light, 22:49-22:52
127,30 November 2021,Awake, 22:52-22:59
128,30 November 2021,Light, 22:59-23:06
129,30 November 2021,Awake, 23:06-23:16
130,30 November 2021,Light, 23:16-23:36
131,30 November 2021,Light, 23:16-23:36
132,30 November 2021,Awake, 23:38-00:08
133,30 November 2021,Light, 00:08-00:23
134,30 November 2021,Deep, 00:23-00:53
135,30 November 2021,Light, 00:53-01:29
136,30 November 2021,Deep, 01:29-01:47
137,30 November 2021,Light, 01:47-01:58
138,30 November 2021,Deep, 01:58-02:15
139,30 November 2021,Light, 02:15-02:30
140,30 November 2021,REM, 02:30-03:18
141,30 November 2021,Deep, 03:18-04:05
142,30 November 2021,Light, 04:05-04:23
143,30 November 2021,Deep, 04:23-04:32
144,30 November 2021,Awake, 04:32-04:46
145,30 November 2021,REM, 04:46-05:45
146,30 November 2021,Light, 05:45-05:57
147,30 November 2021,Deep, 05:57-06:08
148,30 November 2021,Light, 06:08-06:25
149,30 November 2021,Deep, 06:25-06:36
150,30 November 2021,REM, 06:36-07:05
151,30 November 2021,REM, 06:36-07:05
152,30 November 2021,Light, 07:08-07:48
153,29 November 2021,Awake, 23:41-00:31
