Pattern,Start,End,Date
Light,2021-11-30 06:08:00,2021-11-30 06:25:00,2021-11-30
Deep,2021-11-30 06:25:00,2021-11-30 06:36:00,2021-11-30
REM,2021-11-30 06:36:00,2021-11-30 07:05:00,2021-11-30
REM,2021-11-30 06:36:00,2021-11-30 07:05:00,2021-11-30
Light,2021-11-30 07:08:00,2021-11-30 07:48:00,2021-11-30
Awake,2021-11-29 23:41:00,2021-11-29 00:31:00,2021-11-29
Light,2021-11-29 00:31:00,2021-11-29 00:47:00,2021-11-29
Deep,2021-11-29 00:47:00,2021-11-29 01:45:00,2021-11-29
Light,2021-11-29 01:45:00,2021-11-29 02:10:00,2021-11-29
Deep,2021-11-29 02:10:00,2021-11-29 02:28:00,2021-11-29
Light,2021-11-29 02:28:00,2021-11-29 02:39:00,2021-11-29
Deep,2021-11-29 02:39:00,2021-11-29 03:03:00,2021-11-29
Light,2021-11-29 03:03:00,2021-11-29 03:16:00,2021-11-29
REM,2021-11-29 03:16:00,2021-11-29 03:32:00,2021-11-29
Awake,2021-11-29 03:32:00,2021-11-29 03:38:00,2021-11-29
REM,2021-11-29 03:38:00,2021-11-29 03:49:00,2021-11-29
Light,2021-11-29 03:49:00,2021-11-29 04:01:00,2021-11-29
Deep,2021-11-29 04:01:00,2021-11-29 04:24:00,2021-11-29
Light,2021-11-29 04:24:00,2021-11-29 04:36:00,2021-11-29
Deep,2021-11-29 04:36:00,2021-11-29 04:47:00,2021-11-29
Light,2021-11-29 04:47:00,2021-11-29 05:13:00,2021-11-29
REM,2021-11-29 05:13:00,2021-11-29 06:02:00,2021-11-29
Light,2021-11-29 06:02:00,2021-11-29 06:45:00,2021-11-29
Awake,2021-11-29 06:45:00,2021-11-29 06:55:00,2021-11-29
Light,2021-11-29 06:55:00,2021-11-29 07:13:00,2021-11-29
REM,2021-11-29 07:13:00,2021-11-29 07:23:00,2021-11-29
Light,2021-11-29 07:23:00,2021-11-29 07:43:00,2021-11-29
Awake,2021-11-28 01:13:00,2021-11-28 01:42:00,2021-11-28
Deep,2021-11-28 01:42:00,2021-11-28 02:58:00,2021-11-28
Light,2021-11-28 02:58:00,2021-11-28 03:16:00,2021-11-28
Deep,2021-11-28 03:16:00,2021-11-28 03:30:00,2021-11-28
Light,2021-11-28 03:30:00,2021-11-28 04:04:00,2021-11-28
Awake,2021-11-28 04:04:00,2021-11-28 04:12:00,2021-11-28
Light,2021-11-28 04:12:00,2021-11-28 04:23:00,2021-11-28
REM,2021-11-28 04:23:00,2021-11-28 04:27:00,2021-11-28
Awake,2021-11-28 04:27:00,2021-11-28 04:38:00,2021-11-28
REM,2021-11-28 04:38:00,2021-11-28 04:43:00,2021-11-28
Light,2021-11-28 04:43:00,2021-11-28 05:24:00,2021-11-28
Deep,2021-11-28 05:24:00,2021-11-28 05:42:00,2021-11-28
Light,2021-11-28 05:42:00,2021-11-28 05:48:00,2021-11-28
Awake,2021-11-28 05:48:00,2021-11-28 05:58:00,2021-11-28
Light,2021-11-28 05:58:00,2021-11-28 06:07:00,2021-11-28
REM,2021-11-28 06:07:00,2021-11-28 06:10:00,2021-11-28
Awake,2021-11-28 06:10:00,2021-11-28 06:17:00,2021-11-28
REM,2021-11-28 06:17:00,2021-11-28 06:37:00,2021-11-28
Light,2021-11-28 06:37:00,2021-11-28 06:55:00,2021-11-28
Deep,2021-11-28 06:55:00,2021-11-28 07:40:00,2021-11-28
Light,2021-11-28 07:40:00,2021-11-28 08:01:00,2021-11-28
REM,2021-11-28 08:01:00,2021-11-28 08:19:00,2021-11-28
Awake,2021-11-27 23:47:00,2021-11-27 00:38:00,2021-11-27
Light,2021-11-27 00:38:00,2021-11-27 00:44:00,2021-11-27
Deep,2021-11-27 00:44:00,2021-11-27 00:58:00,2021-11-27
Light,2021-11-27 00:58:00,2021-11-27 01:10:00,2021-11-27
Deep,2021-11-27 01:10:00,2021-11-27 02:49:00,2021-11-27
Deep,2021-11-27 01:10:00,2021-11-27 02:49:00,2021-11-27
Awake,2021-11-27 02:52:00,2021-11-27 03:12:00,2021-11-27
Light,2021-11-27 03:12:00,2021-11-27 03:42:00,2021-11-27
REM,2021-11-27 03:42:00,2021-11-27 03:54:00,2021-11-27
Light,2021-11-27 03:54:00,2021-11-27 04:29:00,2021-11-27
Deep,2021-11-27 04:29:00,2021-11-27 04:59:00,2021-11-27
Deep,2021-11-27 04:29:00,2021-11-27 04:59:00,2021-11-27
Awake,2021-11-27 05:00:00,2021-11-27 05:06:00,2021-11-27
Light,2021-11-27 05:06:00,2021-11-27 05:23:00,2021-11-27
Light,2021-11-27 05:06:00,2021-11-27 05:23:00,2021-11-27
Light,2021-11-27 05:26:00,2021-11-27 05:38:00,2021-11-27
Awake,2021-11-27 05:38:00,2021-11-27 06:09:00,2021-11-27
Light,2021-11-27 06:09:00,2021-11-27 06:43:00,2021-11-27
Deep,2021-11-27 06:43:00,2021-11-27 06:54:00,2021-11-27
Light,2021-11-27 06:54:00,2021-11-27 07:08:00,2021-11-27
Deep,2021-11-27 07:08:00,2021-11-27 07:20:00,2021-11-27
Light,2021-11-27 07:20:00,2021-11-27 07:36:00,2021-11-27
REM,2021-11-27 07:36:00,2021-11-27 08:08:00,2021-11-27
Light,2021-11-27 08:08:00,2021-11-27 09:00:00,2021-11-27
Awake,2021-11-26 00:28:00,2021-11-26 00:51:00,2021-11-26
Light,2021-11-26 00:51:00,2021-11-26 01:05:00,2021-11-26
Deep,2021-11-26 01:05:00,2021-11-26 01:23:00,2021-11-26
Light,2021-11-26 01:23:00,2021-11-26 01:47:00,2021-11-26
Deep,2021-11-26 01:47:00,2021-11-26 02:38:00,2021-11-26
Light,2021-11-26 02:38:00,2021-11-26 02:53:00,2021-11-26
Awake,2021-11-26 02:53:00,2021-11-26 03:02:00,2021-11-26
Light,2021-11-26 03:02:00,2021-11-26 03:10:00,2021-11-26
REM,2021-11-26 03:10:00,2021-11-26 03:33:00,2021-11-26
Light,2021-11-26 03:33:00,2021-11-26 03:55:00,2021-11-26
